date,adj_close,ret_1d,buy_hold_signal,buy_hold_position,buy_hold_ret,equity_buy_hold,ma_200_filter_signal,ma_200_filter_position,ma_200_filter_ret,equity_ma_200_filter,vix_pct_filter_signal,vix_pct_filter_position,vix_pct_filter_ret,equity_vix_pct_filter,vrp_pct_filter_signal,vrp_pct_filter_position,vrp_pct_filter_ret,equity_vrp_pct_filter,combined_filter_signal,combined_filter_position,combined_filter_ret,equity_combined_filter
2015-12-28,173.44973754882812,-0.0022846897175445857,1.0,1.0,-0.0022846897175445857,1.1671472406072319,1.0,1.0,-0.0022846897175445857,1.043608101672493,1.0,1.0,-0.0022846897175445857,0.9168338331576729,1.0,1.0,-0.0022846897175445857,0.9040751737821933,1.0,1.0,-0.0022846897175445857,0.8742246676823209
2015-12-29,175.30067443847656,0.010671315597277076,1.0,1.0,0.010671315597277076,1.1796022371602426,1.0,1.0,0.010671315597277076,1.0547447730853154,1.0,1.0,0.010671315597277076,0.9266176563415597,1.0,1.0,0.010671315597277076,0.9137228452852861,1.0,1.0,0.010671315597277076,0.8835537950140836
2015-12-30,174.0582275390625,-0.007087519220298932,1.0,1.0,-0.007087519220298932,1.1712417836320617,1.0,1.0,-0.007087519220298932,1.0472692492335633,1.0,1.0,-0.007087519220298932,0.9200502358923706,1.0,1.0,-0.007087519220298932,0.9072468170573005,1.0,1.0,-0.007087519220298932,0.8772915905097532
2015-12-31,172.3170623779297,-0.010003348797413492,1.0,1.0,-0.010003348797413492,1.1595254435442854,0.0,1.0,-0.010003348797413492,1.0367930496486746,1.0,1.0,-0.010003348797413492,0.9108466524715966,1.0,1.0,-0.010003348797413492,0.8981713107009331,0.0,1.0,-0.010003348797413492,0.8685157367328465
2016-01-04,169.90814208984375,-0.013979580749831078,1.0,1.0,-0.013979580749831078,1.1433157639747744,0.0,0.0,-0.0002,1.0365856910387448,0.0,1.0,-0.013979580749831078,0.8981133981426566,1.0,1.0,-0.013979580749831078,0.8856152523358078,0.0,0.0,-0.0002,0.8683420335855
2016-01-05,170.19554138183594,0.0016914980556976822,1.0,1.0,0.0016914980556976822,1.1452496803665864,0.0,0.0,0.0,1.0365856910387448,1.0,0.0,-0.0002,0.897933775463028,1.0,1.0,0.0016914980556976822,0.88711326881323,0.0,0.0,0.0,0.8683420335855
2016-01-06,168.04869079589844,-0.012614023660708074,1.0,1.0,-0.012614023660708074,1.130803473801024,0.0,0.0,-0.0,1.0365856910387448,0.0,1.0,-0.012814023660708074,0.8864276308184958,0.0,1.0,-0.012614023660708074,0.8759232010506919,0.0,0.0,-0.0,0.8683420335855
2016-01-07,164.0169219970703,-0.023991670388702202,1.0,1.0,-0.023991670388702202,1.1036736095831903,0.0,0.0,-0.0,1.0365856910387448,0.0,0.0,-0.0002,0.8862503452923322,0.0,0.0,-0.0002,0.8757480164104817,0.0,0.0,-0.0,0.8683420335855
2016-01-08,162.21656799316406,-0.010976635715297722,1.0,1.0,-0.010976635715297722,1.091558986422208,0.0,0.0,-0.0,1.0365856910387448,0.0,0.0,-0.0,0.8862503452923322,0.0,0.0,-0.0,0.8757480164104817,0.0,0.0,-0.0,0.8683420335855
2016-01-11,162.37713623046875,0.0009898387032294398,1.0,1.0,0.0009898387032294398,1.0926394537538267,0.0,0.0,0.0,1.0365856910387448,0.0,0.0,0.0,0.8862503452923322,0.0,0.0,0.0,0.8757480164104817,0.0,0.0,0.0,0.8683420335855
