split,model_family,target,accuracy,balanced_accuracy,precision,recall,f1,brier,true_positive_rate,predicted_positive_rate,is_degenerate_classifier,n_predictions,roc_auc,first_prediction_date,last_prediction_date
5,vrp_only_baseline_majority,next_5d_positive_return,0.6334661354581673,0.5,0.6334661354581673,1.0,0.775609756097561,0.3665338645418327,0.6334661354581673,1.0,1.0,251.0,0.5,,
5,vrp_only_logistic,next_5d_positive_return,0.6454183266932271,0.5185944763467323,0.6422764227642277,0.9937106918238994,0.7802469135802469,0.22986322203400428,0.6334661354581673,0.9800796812749004,0.0,251.0,0.5296007656549084,2025-02-03,2026-02-02
5,vrp_only_logistic_l2,next_5d_positive_return,0.6454183266932271,0.5185944763467323,0.6422764227642277,0.9937106918238994,0.7802469135802469,0.22986322203400428,0.6334661354581673,0.9800796812749004,0.0,251.0,0.5296007656549084,2025-02-03,2026-02-02
5,vrp_only_logistic_elasticnet,next_5d_positive_return,0.6414342629482072,0.5131596937380366,0.6396761133603239,0.9937106918238994,0.7783251231527094,0.23051072220580845,0.6334661354581673,0.9840637450199203,0.0,251.0,0.49767569045665844,2025-02-03,2026-02-02
5,vrp_only_random_forest,next_5d_positive_return,0.5936254980079682,0.530386929176921,0.6524064171122995,0.7672955974842768,0.7052023121387283,0.24652490232787314,0.6334661354581673,0.7450199203187251,0.0,251.0,0.48851517637407704,2025-02-03,2026-02-02
6,vrp_only_baseline_majority,next_5d_positive_return,0.5955056179775281,0.5,0.5955056179775281,1.0,0.7464788732394366,0.4044943820224719,0.5955056179775281,1.0,1.0,89.0,0.5,,
6,vrp_only_logistic,next_5d_positive_return,0.5955056179775281,0.5,0.5955056179775281,1.0,0.7464788732394366,0.24126297363628804,0.5955056179775281,1.0,1.0,89.0,0.5387840670859538,2026-02-03,2026-06-10
6,vrp_only_logistic_l2,next_5d_positive_return,0.5955056179775281,0.5,0.5955056179775281,1.0,0.7464788732394366,0.24126297363628804,0.5955056179775281,1.0,1.0,89.0,0.5387840670859538,2026-02-03,2026-06-10
6,vrp_only_logistic_elasticnet,next_5d_positive_return,0.5955056179775281,0.5,0.5955056179775281,1.0,0.7464788732394366,0.24166440511375642,0.5955056179775281,1.0,1.0,89.0,0.5062893081761006,2026-02-03,2026-06-10
6,vrp_only_random_forest,next_5d_positive_return,0.5955056179775281,0.5,0.5955056179775281,1.0,0.7464788732394366,0.2791212153827544,0.5955056179775281,1.0,1.0,89.0,0.2809224318658281,2026-02-03,2026-06-10
0,combined_baseline_majority,next_5d_positive_return,0.6245059288537549,0.5,0.6245059288537549,1.0,0.7688564476885644,0.37549407114624506,0.6245059288537549,1.0,1.0,253.0,0.5,,
0,combined_logistic,next_5d_positive_return,0.6245059288537549,0.5,0.6245059288537549,1.0,0.7688564476885644,0.24538932403705974,0.6245059288537549,1.0,1.0,253.0,0.48867421718854104,2020-02-03,2021-02-02
0,combined_logistic_l2,next_5d_positive_return,0.6245059288537549,0.5,0.6245059288537549,1.0,0.7688564476885644,0.24538932403705974,0.6245059288537549,1.0,1.0,253.0,0.48867421718854104,2020-02-03,2021-02-02
0,combined_logistic_elasticnet,next_5d_positive_return,0.6245059288537549,0.5,0.6245059288537549,1.0,0.7688564476885644,0.2443357000328537,0.6245059288537549,1.0,1.0,253.0,0.4896735509660226,2020-02-03,2021-02-02
0,combined_random_forest,next_5d_positive_return,0.5691699604743083,0.48087941372418386,0.6139534883720931,0.8354430379746836,0.707774798927614,0.2441851713805412,0.6245059288537549,0.849802371541502,0.0,253.0,0.5429713524317122,2020-02-03,2021-02-02
1,combined_baseline_majority,next_5d_positive_return,0.6284584980237155,0.5,0.6284584980237155,1.0,0.7718446601941747,0.3715415019762846,0.6284584980237155,1.0,1.0,253.0,0.5,,
1,combined_logistic,next_5d_positive_return,0.6284584980237155,0.5,0.6284584980237155,1.0,0.7718446601941747,0.2313496339416497,0.6284584980237155,1.0,1.0,253.0,0.6082563896694768,2021-02-03,2022-02-02
1,combined_logistic_l2,next_5d_positive_return,0.6284584980237155,0.5,0.6284584980237155,1.0,0.7718446601941747,0.2313496339416497,0.6284584980237155,1.0,1.0,253.0,0.6082563896694768,2021-02-03,2022-02-02
1,combined_logistic_elasticnet,next_5d_positive_return,0.6284584980237155,0.5,0.6284584980237155,1.0,0.7718446601941747,0.23225109323232354,0.6284584980237155,1.0,1.0,253.0,0.5798875953432356,2021-02-03,2022-02-02
1,combined_random_forest,next_5d_positive_return,0.5928853754940712,0.5043155359293456,0.6308411214953271,0.8490566037735849,0.7238605898123325,0.2372196734470362,0.6284584980237155,0.8458498023715415,0.0,253.0,0.538003479191757,2021-02-03,2022-02-02
