target,model_name,feature_group,train_start,train_end,test_start,test_end,n_predictions,first_prediction_date,last_prediction_date,positive_rate_actual,positive_rate_predicted,accuracy,balanced_accuracy,precision,recall,F1,Brier_score,average_predicted_probability,degenerate_classifier,ROC_AUC
next_5d_vol_expansion,random_forest,vrp_only,2015-02-02,2023-02-02,2023-02-03,2024-02-02,251,2023-02-03,2024-02-02,0.4103585657370518,0.20318725099601595,0.6414342629482072,0.5911506166360535,0.6274509803921569,0.3106796116504854,0.4155844155844156,0.2154092397448079,0.3740990052705847,False,0.6853188139595907
next_5d_vol_expansion,random_forest,vrp_only,2015-02-02,2024-02-02,2024-02-03,2025-02-02,249,2024-02-05,2025-01-31,0.37349397590361444,0.3895582329317269,0.6626506024096386,0.6439205955334988,0.5463917525773195,0.5698924731182796,0.5578947368421052,0.21481575433042022,0.42561810518785836,False,0.7079542321477805
next_5d_vol_expansion,random_forest,vrp_only,2015-02-02,2025-02-02,2025-02-03,2026-02-02,251,2025-02-03,2026-02-02,0.3187250996015936,0.26693227091633465,0.7171314741035857,0.6527046783625731,0.5671641791044776,0.475,0.5170068027210885,0.1833720317047823,0.3917420146390166,False,0.7451754385964912
next_5d_vol_expansion,random_forest,vrp_only,2015-02-02,2026-02-02,2026-02-03,2026-06-10,89,2026-02-03,2026-06-10,0.4606741573033708,0.29213483146067415,0.8089887640449438,0.7944613821138211,0.9615384615384616,0.6097560975609756,0.746268656716418,0.1630292503838945,0.41695558344709216,False,0.861280487804878
next_5d_vol_expansion,logistic,extreme_vrp,2015-02-02,2020-02-02,2020-02-03,2021-02-02,253,2020-02-03,2021-02-02,0.308300395256917,0.33992094861660077,0.6837944664031621,0.6435164835164835,0.4883720930232558,0.5384615384615384,0.5121951219512195,0.2304658037059644,0.4691329003468997,False,0.7196336996336996
next_5d_vol_expansion,logistic,extreme_vrp,2015-02-02,2021-02-02,2021-02-03,2022-02-02,253,2021-02-03,2022-02-02,0.4031620553359684,0.06719367588932806,0.6482213438735178,0.5669068952084145,0.8823529411764706,0.14705882352941177,0.25210084033613445,0.22439140873633087,0.34502341518547897,False,0.5841449162446437
next_5d_vol_expansion,logistic,extreme_vrp,2015-02-02,2022-02-02,2022-02-03,2023-02-02,251,2022-02-03,2023-02-02,0.42231075697211157,0.0796812749003984,0.649402390438247,0.586174365647365,0.95,0.1792452830188679,0.30158730158730157,0.21756418845617279,0.3274994120395413,False,0.6932986337020169
next_5d_vol_expansion,logistic,extreme_vrp,2015-02-02,2023-02-02,2023-02-03,2024-02-02,251,2023-02-03,2024-02-02,0.4103585657370518,0.05976095617529881,0.6175298804780877,0.5398845447389137,0.7333333333333333,0.10679611650485436,0.1864406779661017,0.23147226340906568,0.36956584908806395,False,0.6157832589871425
next_5d_vol_expansion,logistic,extreme_vrp,2015-02-02,2024-02-02,2024-02-03,2025-02-02,249,2024-02-05,2025-01-31,0.37349397590361444,0.15261044176706828,0.6506024096385542,0.5669975186104219,0.5789473684210527,0.23655913978494625,0.33587786259541985,0.2181553191343192,0.39024904420793244,False,0.691204852495175
next_5d_vol_expansion,logistic,extreme_vrp,2015-02-02,2025-02-02,2025-02-03,2026-02-02,251,2025-02-03,2026-02-02,0.3187250996015936,0.07569721115537849,0.7250996015936255,0.5820540935672515,0.7894736842105263,0.1875,0.30303030303030304,0.19649408962518902,0.37069286824563613,False,0.7428362573099415
next_5d_vol_expansion,logistic,extreme_vrp,2015-02-02,2026-02-02,2026-02-03,2026-06-10,89,2026-02-03,2026-06-10,0.4606741573033708,0.24719101123595505,0.7640449438202247,0.745680894308943,0.9545454545454546,0.5121951219512195,0.6666666666666666,0.1860254042282349,0.42364483999695157,False,0.8389227642276422
next_5d_vol_expansion,random_forest,extreme_vrp,2015-02-02,2020-02-02,2020-02-03,2021-02-02,253,2020-02-03,2021-02-02,0.308300395256917,0.42292490118577075,0.6324110671936759,0.6205860805860806,0.42990654205607476,0.5897435897435898,0.4972972972972973,0.21556863131747014,0.4196378785110581,False,0.6574358974358975
