split,model_family,target,mse,rmse,mae,r2,oos_r2,information_coefficient,directional_hit_rate,n_predictions,first_prediction_date,last_prediction_date,newey_west_tstat
1,price_only_linear,next_21d_return,0.0010874925989389547,0.0329771526808934,0.027025395166804446,-0.20974399805527355,-0.16730508288140222,0.38139480474488274,0.5119047619047619,252.0,2021-01-04,2021-12-31,-0.571283044164522
1,price_only_ridge,next_21d_return,0.0011607652728578479,0.034070005471937455,0.028159112918892084,-0.2912536815062945,-0.24595533280980364,0.24762234705072053,0.44047619047619047,252.0,2021-01-04,2021-12-31,-0.571283044164522
1,price_only_elastic_net,next_21d_return,0.000931626714290118,0.030522560742672265,0.02335769411390552,-0.03635631832349606,0.0,,0.7658730158730159,252.0,2021-01-04,2021-12-31,-0.571283044164522
2,price_only_baseline_mean,next_21d_return,0.00407695873935095,0.06385106686149379,0.055276192855718706,-0.11980383020753349,0.0,,0.4302788844621514,251.0,2022-01-03,2022-12-30,
2,price_only_linear,next_21d_return,0.006311396090893486,0.07944429552141227,0.06720975544493968,-0.7335288307736285,-0.5480647449226472,0.6580656421931322,0.44223107569721115,251.0,2022-01-03,2022-12-30,-0.7801911358924907
2,price_only_ridge,next_21d_return,0.005383808173856128,0.07337443815019047,0.06005082062874028,-0.47875153996444464,-0.32054517056830156,0.6381066211345096,0.4302788844621514,251.0,2022-01-03,2022-12-30,-0.7801911358924907
2,price_only_elastic_net,next_21d_return,0.00407695873935095,0.06385106686149379,0.055276192855718706,-0.11980383020753349,0.0,,0.4302788844621514,251.0,2022-01-03,2022-12-30,-0.7801911358924907
3,price_only_baseline_mean,next_21d_return,0.0013308769721999184,0.03648118655142563,0.030663003001787353,-0.05650440821708691,0.0,,0.696,250.0,2023-01-03,2023-12-29,
3,price_only_linear,next_21d_return,0.0015260818062328963,0.039065097033450416,0.03372865271824428,-0.2114659651220976,-0.14667383846179827,0.023797244755916092,0.524,250.0,2023-01-03,2023-12-29,-0.6524000351322007
3,price_only_ridge,next_21d_return,0.0012759978863508743,0.035721112613563345,0.030684993603089423,-0.012939152126887343,0.04123528094285822,0.15017673882782123,0.636,250.0,2023-01-03,2023-12-29,-0.6524000351322007
3,price_only_elastic_net,next_21d_return,0.0013308769721999184,0.03648118655142563,0.030663003001787353,-0.05650440821708691,0.0,,0.696,250.0,2023-01-03,2023-12-29,-0.6524000351322007
4,price_only_baseline_mean,next_21d_return,0.0008428973585731043,0.029032694648845538,0.024410988277015752,-0.11292987747155747,0.0,,0.7896825396825397,252.0,2024-01-02,2024-12-31,
4,price_only_linear,next_21d_return,0.0009228695496040614,0.03037876807252166,0.025432017873984362,-0.21852214189137253,-0.09487773359064477,0.2629392087212978,0.6031746031746031,252.0,2024-01-02,2024-12-31,-0.6241158200082791
4,price_only_ridge,next_21d_return,0.0009291574746988462,0.03048208448743042,0.026232747790594618,-0.22682448100077002,-0.10233762776498323,0.28395958796097376,0.6666666666666666,252.0,2024-01-02,2024-12-31,-0.6241158200082791
4,price_only_elastic_net,next_21d_return,0.0008428973585731043,0.029032694648845538,0.024410988277015752,-0.11292987747155747,0.0,,0.7896825396825397,252.0,2024-01-02,2024-12-31,-0.6241158200082791
5,price_only_baseline_mean,next_21d_return,0.0018462967482257234,0.042968555342549314,0.03070137636134971,-0.004472524446522019,0.0,,0.752,250.0,2025-01-02,2025-12-31,
5,price_only_linear,next_21d_return,0.001960640980966251,0.044279125792705654,0.03272354481301329,-0.06668118089741681,-0.06193166556265206,-0.02002707243315893,0.652,250.0,2025-01-02,2025-12-31,-0.7485826926312182
5,price_only_ridge,next_21d_return,0.0018521413081489125,0.04303651133803613,0.032587265449751227,-0.007652240744005834,-0.0031655582607756916,-0.05503614457831325,0.652,250.0,2025-01-02,2025-12-31,-0.7485826926312182
5,price_only_elastic_net,next_21d_return,0.0018462967482257234,0.042968555342549314,0.03070137636134971,-0.004472524446522019,0.0,,0.752,250.0,2025-01-02,2025-12-31,-0.7485826926312182
6,price_only_baseline_mean,next_21d_return,0.002456310080359023,0.04956117513093312,0.041107904987161555,-0.022702100331922104,0.0,,0.5531914893617021,94.0,2026-01-02,2026-05-18,
6,price_only_linear,next_21d_return,0.0024758008010686166,0.04975741955797765,0.0430764097509548,-0.03081719995475596,-0.007934959378884665,0.20391576057508215,0.40425531914893614,94.0,2026-01-02,2026-05-18,-0.8989660263500615
6,price_only_ridge,next_21d_return,0.002263595083206379,0.04757725384263345,0.0396764079138884,0.05753615375880827,0.07845711284321077,0.26084600657443197,0.5531914893617021,94.0,2026-01-02,2026-05-18,-0.8989660263500615
6,price_only_elastic_net,next_21d_return,0.002456310080359023,0.04956117513093312,0.041107904987161555,-0.022702100331922104,0.0,,0.5531914893617021,94.0,2026-01-02,2026-05-18,-0.8989660263500615
0,realized_vol_only_baseline_mean,next_21d_return,0.00667154100230323,0.08167950172658517,0.05146401589422027,-0.008072921682427792,0.0,,0.6363636363636364,253.0,2019-04-04,2020-04-03,
0,realized_vol_only_linear,next_21d_return,0.012837590017467464,0.11330308917883689,0.06510534628911768,-0.9397657710267937,-0.924231600020972,0.15711499501297518,0.6719367588932806,253.0,2019-04-04,2020-04-03,1.3334040489344088
0,realized_vol_only_ridge,next_21d_return,0.005845839581977238,0.07645809036313449,0.047253294158718,0.11669094365812749,0.12376472242933578,0.29930596620086525,0.6363636363636364,253.0,2019-04-04,2020-04-03,1.3334040489344088
